,price,address,area,bed,baths,halfBaths
112,"$1,300,000","330 E 38th Street 23-Q , New York NY 10016",958 sq.ft,1 bed,2 baths,N/A
113,"$1,449,999","187 W 80th Street 2W , New York NY 10024",N/A,2 beds,1 bath,N/A
114,"$11,950,000","875 Park Avenue Unit 8AB , New York NY 10075",N/A,5 beds,5 baths,2 half baths
115,"$2,695,000","135 E 71st Street Unit 14A , New York NY 10021",N/A,2 beds,2 baths,N/A
116,"$19,950,000","115 Central Park W PH18EF , New York NY 10023",N/A,5 beds,5 baths,2 half baths
117,"$895,000","120 Greenwich Street 9-F , New York NY 10006",698 sq.ft,1 bed,1 bath,N/A
118,"$728,000","155 Henry Street 102 , New York NY 10002",N/A,2 beds,1 bath,N/A
119,"$675,000","340 East 93rd Street 2J , New York NY 10128",N/A,1 bed,1 bath,N/A
120,"$719,000","251 E 51st Street OFFICE a , New York NY 10022",925 sq.ft,1 bed,1 bath,N/A
121,"$8,995,000","30 E 31st Street Unit PH , New York NY 10016","3,354 sq.ft",3 beds,3 baths,1 half bath
122,"$2,375,000","30 E 31st Street Unit 15 , New York NY 10016","1,677 sq.ft",2 beds,2 baths,1 half bath
123,"$6,700,000","551 W 21st Street 6-A , New York NY 10011","2,469 sq.ft",3 beds,2 baths,1 half bath
124,"$1,595,000","80 Central Park W Unit 8A , New York NY 10023",N/A,1 bed,1 bath,1 half bath
125,N/A,N/A,N/A,N/A,N/A,N/A
126,"$1,888,777","1600 Broadway 5-G , New York NY 10019","1,400 sq.ft",2 beds,2 baths,N/A
127,"$1,000,000","303 East 57th Street 21L , New York NY 10022",N/A,2 beds,2 baths,1 half bath
128,"$4,250,000","16 East 129th Street , New York NY 10035","2,813 sq.ft",5 beds,6 baths,N/A
129,"$505,000","60 S Sutton Place , 4HN , New York NY 10022",N/A,1 bed,1 bath,N/A
130,"$519,000","415 East 85th Street 4E 4E , New York NY 10028",725 sq.ft,1 bed,1 bath,N/A
131,"$1,065,000","88 Greenwich Street 2704 , New York NY 10006",759 sq.ft,1 bed,1 bath,N/A
132,"$250,000","214 Bradhurst Avenue 1 , New York NY 10039",N/A,N/A,N/A,N/A
133,"$699,500","245 E E 54th Street 20-K , New York NY 10022",712 sq.ft,1 bed,1 bath,N/A
134,"$269,000","123 East 102nd Street 5E , New York NY 10029",300 sq.ft,N/A,1 bath,N/A
135,"$39,950,000","50 United Nations Plaza DPH42 , New York NY 10017","9,704 sq.ft",5 beds,7 baths,1 half bath
136,"$1,899,000","459 W 153 Street W , Out Of Area Town NY 10031",N/A,8 beds,8 baths,N/A
137,"$24,999,000","24 W 10th Street , New York NY 10011","9,000 sq.ft",7 beds,6 baths,3 half baths
138,"$1,250,000","15 William Street 36-F , New York NY 10005",812 sq.ft,1 bed,1 bath,N/A
139,"$3,495,000","710 Park Avenue 17-B , New York NY 10021","2,300 sq.ft",3 beds,3 baths,1 half bath
140,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
141,"$995,000",New York NY 10016,775 sq.ft,1 bed,1 bath,N/A
142,"$530,000","308 E 79th Street 2-F , New York NY 10075",N/A,1 bed,1 bath,N/A
143,"$400,000","520 West 134th Street 3-D , New York NY 10031",N/A,2 beds,1 bath,N/A
144,"$38,000,000","1 East 62nd Street PH PH , New York NY 10021",N/A,5 beds,5 baths,N/A
145,"$525,000","29 West 119th Street 37 , New York NY 10026",N/A,2 beds,1 bath,N/A
