,team_name,year,wins,losses,otLosses,pct,gf,ga,diff
295,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
296,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
297,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
298,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
299,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
300,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
301,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
302,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
303,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
304,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
305,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
306,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
307,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
308,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
309,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
310,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
311,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
312,New York Rangers,1990,36,31,N/A,0.45,297,265,32
313,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
314,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
315,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
316,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
317,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
318,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
319,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
320,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
321,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
322,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
323,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
324,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
325,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
326,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
327,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
328,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
329,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
330,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
331,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
332,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
333,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
334,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
335,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
336,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
337,New York Rangers,1990,36,31,N/A,0.45,297,265,32
338,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
339,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
340,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
341,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
342,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
343,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
344,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
345,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
346,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
347,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
348,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
349,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
350,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
351,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
352,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
353,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
354,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
355,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
356,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
357,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
358,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
359,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
360,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
361,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
362,New York Rangers,1990,36,31,N/A,0.45,297,265,32
363,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
364,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
365,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
366,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
367,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
368,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
369,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
370,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
371,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
372,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
373,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
374,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
375,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
376,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
377,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
378,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
379,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
380,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
381,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
382,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
383,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
384,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
385,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
386,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
387,New York Rangers,1990,36,31,N/A,0.45,297,265,32
388,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
389,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
390,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
391,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
392,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
393,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
394,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
395,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
396,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
397,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
398,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
399,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
400,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
401,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
402,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
403,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
404,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
405,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
406,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
407,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
408,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
409,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
410,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
411,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
412,New York Rangers,1990,36,31,N/A,0.45,297,265,32
413,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
414,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
415,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
416,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
417,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
418,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
419,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
420,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
421,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
422,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
423,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
424,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
425,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
426,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
427,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
428,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
429,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
430,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
431,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
432,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
433,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
434,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
435,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
436,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
437,New York Rangers,1990,36,31,N/A,0.45,297,265,32
438,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
439,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
440,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
441,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
442,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
443,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
444,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
445,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
446,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
447,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
448,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
449,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
450,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
451,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
452,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
453,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
454,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
455,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
456,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
457,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
458,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
459,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
460,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
461,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
462,New York Rangers,1990,36,31,N/A,0.45,297,265,32
463,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
464,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
465,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
466,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
467,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
468,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
469,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
470,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
471,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
472,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
473,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
474,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
475,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
476,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
477,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
478,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
479,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
480,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
481,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
482,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
483,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
484,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
485,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
486,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
487,New York Rangers,1990,36,31,N/A,0.45,297,265,32
488,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
489,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
490,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
491,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
492,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
493,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
494,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
495,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
496,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
497,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
498,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
499,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
500,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
501,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
502,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
503,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
504,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
505,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
506,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
507,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
508,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
509,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
510,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
511,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
