,team_name,year,wins,losses,otLosses,pct,gf,ga,diff
608,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
609,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
610,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
611,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
612,New York Rangers,1990,36,31,N/A,0.45,297,265,32
613,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
614,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
615,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
616,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
617,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
618,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
619,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
620,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
621,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
622,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
623,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
