,price,address,area,bed,baths,halfBaths
0,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
1,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
2,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
3,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
4,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
5,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
6,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
7,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
8,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
9,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
10,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
11,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
12,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
13,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
14,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
15,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
16,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
17,"$2,400,000","47 E 19th Street 4 , New York NY 10003","2,500 sq.ft",2 beds,2 baths,N/A
